Meta_KW_ID	Keyword
0	
1	health
2	Tom Rogan
3	Senate
4	The Pentagon
5	Chuck Schumer
6	government shutdown
7	Health food products
8	god and donald trump
9	golden globes
10	vdare.com
11	Continuing Resolution
12	NDAA
13	sthole countries
14	Israel
15	slams
16	lactose intolerance
17	Teachers
18	Magazine
19	Campus Free Speech
20	Alabama
21	Hillary Clinton
22	Energy and Environment
23	osteoporosis
24	bill clinton
25	david letterman
26	France
27	salvadorans
28	opioids
29	el salvador
30	africa
31	bacteria
32	Fake News
33	kombucha
34	United Nations
35	calls
36	Kombucha
37	Refugees
38	Naomi Lim
39	apple cider vinegar
40	release
41	vote trump
42	Socialism
43	Tom Tancredo
44	Malcolm Turnbull
45	Barack Obama
46	TPP
47	department of justice
48	Clinton Foundation
49	Gabby Morrongiello
50	chuck schumer
51	Dream Act
52	Syria
53	Foreign Policy
54	Social Media
55	Supreme Court
56	United States
57	mark levin
58	blamed
59	2020
60	Congress
61	Food and Drink
62	Portugal
63	Super PACs
64	Kelly Cohen
65	Immigration
66	addiction epidemic
67	Politics
68	donald trump
69	School Choice
70	Vladimir Putin
71	president
72	reasons
73	reuters
74	Blog Contributors
75	Nuclear Weapons
76	Australia
77	Campaigns
78	Paris
79	Bill Clinton
80	Susan Ferrechio
81	Philip Wegmann
82	Missouri
83	Watchdog
84	Benghazi
85	haiti
86	myanmar
87	books on trump
88	Government Shutdown
89	antonio sabato jr
90	FDA
91	Washington Examiner Staff
92	Jason Russell
93	Beltway Confidential
94	GAO
95	probiotic
96	Spending
97	News
98	Trump
99	Anna Giaritelli
100	Auto Industry
101	barack obama
102	South America
103	Germany
104	Libya
105	dairy
106	michael hayden
107	Teachers Unions
108	hillary clinton emails
109	Fukushima
110	Benghazi Select Committee
111	NBC
112	Hamas
113	National Security
114	President
115	Joel Gehrke
116	Big Government
117	Nicolas Maduro
118	Ben Cardin
119	probiotics
120	History
121	White House
122	Middle East
123	Books
124	daca
125	Bankruptcy
126	Campus Speech Codes
127	Cold War
128	Red Alert Politics
129	Insurance Industry
130	Education
131	Senate Foreign Relations
132	Russia
133	Donald Trump
134	Big Pharma
135	tom perez
136	Twitter
137	Spain
138	protection
139	Permission marketing
140	Rex Tillerson
141	foods
142	netflix
143	blog
144	Conservative Newspaper
145	Jeff Sessions
146	Palestinian Authority
147	Chris Christie
148	Law
149	INF Treaty
150	fake news
151	NaturalNews
152	trump
153	Opinion
154	prescription
155	food
156	irradiated milk
157	Palestinians
158	Philadelphia
159	Betsy DeVos
160	School Vouchers
161	investigation
162	Conservative News
163	Journalists
164	Media
165	Canada
166	Ethanol
167	Venezuela
168	oprah winfrey
169	journalists
170	milk
171	Justice Department
172	Terrorism
173	drug
174	United Kingdom
175	president trump
176	Becket Adams
177	National Defense Authorization Act
178	daily beast
179	2016 Elections
180	State Department
181	New York Times
182	College
183	cruel
184	Byron York
185	Sarah Westwood
186	ISIS
