,Date,Content,URL
0," Thursday, September 26, 2013 
"," Tuesday, World Bank released the 2012 World Development Report (WDR) on Gender Equality and Development. With few specific mentions of Australia, women in the country appear to be doing better than many other countries discussed. This includes areas like education, health, life expectancy, and willingness to work part time.
 In 1979, the United Nations General Assembly adopted the Convention on the Elimination of All Forms of Discrimination against Women (CEDAW). Early on, the report credits the Sex Discrimination Act 1984, inspired by CEDAW, with dealing with inequality issues such as discrimination based on sex, marital status, and pregnancy or potential pregnancy.
 The WDR 2012 team estimates based on World Values Surveys found little change in attitudes for people who agree that university education is more important for boys than girls, with around 8% of Australians saying yes between 1994 and 1999, and 5% saying yes between 2005 and 2007. About 25% of Australians said men should have more rights to jobs than women between 1994 and 1999.  This dropped to 15% between 2005 and 2007.
 The report says married Australian women working part-time are amongst a few nationalities who prefer their current working hours, and would not desire to change to a full time position.  The report contrasts this to Honduras where married women working part-time would like to move to full-time but are unable to do so because of the lack of available employment.
 The report suggests economic well being is not a good predictor of Australian female fertility. The top 20% of female earners have an average of about 1.5 children compared to the bottom 20% who have an average of 2 children.
 While girls score slightly lower than boys on the Programme for International Student Assessment mathematics test at around 510 to 520 on the mean score, girls outperformed boys in literacy approximately 530 to 500. The report attributes overall patterns of girls outperforming boys at literacy and boys outperforming girls at maths to gender expectations reinforced in textbooks.  It sites current examples of this in Australia and Hong Kong. On the maths test, Australian girls slightly outperformed girls from Estonia, Belgium and Germany, while girls from New Zealand, Macau, the Netherlands, Canada, Japan, Switzerland, Liechtenstein, Finland, South Korea, Hong Kong and Singapore outperformed their Australian counterparts. On the literacy test, Australian girls slightly outperformed their Norwegian and Polish counterparts.  The only countries sampled outperforming Australian girls at literacy were Japan, New Zealand, Canada, Singapore, Hong Kong, Finland and South Korea.  
 From 1991 to 2009, the gross enrolment ratio for Australian females in primary and secondary school declined by 1% and 2% respectively.  For tertiary education, there was a 52% increase for females.  The average life expectancy of Australian women went from 80 in 1990 to 84 in 2009. During the same period, male life expectancy grew from 74 years to 79 years. Australia's Parliament had 6% women in 1990 and grew to 25% women in 2010.
 
 
",https://en.wikinews.org//wiki/2012_Report_on_Gender_Equality_and_Development_suggests_Australian_women_are_doing_okay
1," Sunday, June 15, 2014 
"," Australian Prime Minister Tony Abbott allowed for potential Australian support in any military action the United States may take in resolving the current conflict in Iraq, during and after a meeting with U.S. President Barack Obama on Thursday.
 The President had said all options were on the table for dealing with the Al-Qaeda splinter group of Sunni militants who have violently overrun many areas of the war torn county.
 A major Al-Qaeda foodhold in Iraq ""would be a humanitarian disaster for the people of Iraq, quite apart from being a very serious problem for the region and the wider world"" said Abbot to ABC Radio, emphasising the consequences this conflict could have on the already unstable region.
 Whilst the United States has not requested Australian aid, Abbott expressed concern the situation could become a problem for Australia and the rest of the world.  In remarks to Sky News, he said, ""I want to do what we reasonably can to protect Australian citizens, Australian interests and Australian values, and there is a very strong community of interests and values between the United States and Australia and our other principal allies"".
 Abbott advised this conflict in Iraq would allow terrorist organisations to gain a stronger position globally, as the war in Syria allowed terrorist groups to hoard large amounts of weapons and money.
 Abbott's position on this issue in Iraq has been met with criticism from different members of parliament. Opposition leader Bill Shorten warned ""Australia always needs to weigh up the use of our highly professional and dedicated soldiers as to whether or not it is in the Australian National interest"". Greens leader Christine Milne said Australia should focus efforts on diplomatic solutions through nonviolent action and the United Nations to bring about long-term stability and reconciliation in Iraq.
 However Peter Jennings, head of think tank the Australian Strategic Policy Institute, supported Australia's offer of support, though acknowledging Australia could do little as a main player in this conflict. Jennings also advised that providing intelligence via surveillance may be a way for Australia to help in a supporting role.
 According to recent information from the Australian federal government's service Smartraveller, at least 90 Australians were on holiday in Iraq despite a no-travel warning for that country.
 
 
",https://en.wikinews.org//wiki/Abbott_open_to_possible_Australian_assistance_in_Iraq
2," Sunday, May 18, 2014 
"," An anti-budget protest descended on Brisbane, Australia today in response to this past Tuesday's federal budget. Among the speakers at the pre-march rally were Australian Labor Party (ALP) senator Claire Moore and former Australian Democrats senator — and current Queensland Greens convenor — Andrew Bartlett.
 Mr. Bartlett conveyed to the crowd that the Australian Greens would do everything in their power to block the budget legislation in parliament. Senator Moore was not heard stating similar of the ALP but spoke passionately against the budget.
 

 
 
",https://en.wikinews.org//wiki/Anti-budget_protest_descends_on_Brisbane_Australia
3," Thursday, January 27, 2011 
"," The Prime Minister of Australia, Julia Gillard, has today announced a new bill into Parliament to assist in the Queensland floods recovery. The proposed levy will be a once-off tax, given only to those with an annual income of above A$50,000. 
 Exemptions to the flood relief fund will be given to those who are income earners of less than $50,000 a year or those who were affected by the flood crisis. Anyone earning between the ranges of $50,000 to $100,000 will contribute 0.5 percent of their income whilst anyone earning over $100,000 annually will pay 1 percent.
 During her announcement, Gillard stated: ""Under this levy, someone who has an income of $60,000 will pay just under $1 extra per week. A person earning $100,000 per year will pay just under an extra $5 per week.""
 The levy is set to contribute to the relief effort to assist in the five-billion-dollar reconstruction of Queensland infrastructure. The Government will obtain three billion dollars through the scratching of certain schemes and the postponement of others. The levy will then contribute the other two billion.
 The bill has not come without criticism. The leader of the opposing Liberal Party, Tony Abbott, has claimed that there is ""fat"" in the budget. He said there should be no requirement for Australians to contribute towards a levy, but rather the government should cut back on its own spending.
 Gillard responded to Abbott's claims by saying that the Liberal's proposed paid maternity leave scheme would have required Australian people to pay a levy, and that it is unjustifiable that they then wouldn’t allow for the rebuilding of Queensland.
 Independent Bob Katter has said that until a designated fund for natural disaster relief is established by the Government, he will not approve of any relief levies introduced into parliament. Tony Windsor, a fellow independent, agreed. With Labor currently in a minority government, the passing of the bill is in jeopardy without the support of the independents (which of whom, except for Bob Katter, formed government with Labor).
 There is currently no certainty that the bill will be introduced yet. It must first be approved in the Lower House and then in the Senate.
 
 
",https://en.wikinews.org//wiki/Australia_announces_levy_bill_to_offset_cost_of_Queensland_floods
4," Wednesday, May 10, 2006 
"," Australian minister for foreign affairs, Alexander Downer (Mayo, Liberal), told the Australian House of Representatives on Tuesday that Australia would provide assistance to East Timor if the East Timorese government or United Nations requested it.
 Northern Territory member, David Tollner (Solomon,Country Liberal), who has long had an interest in East Timorese affairs, asked Mr Downer to update the parliament on ""recent developments in East Timor"".
 Riots in East Timor's capital Dilli killed five people on April 28 following a march supporting 600 East Timorese soldiers who were dismissed for deserting following complaints of discrimination between those from the east and west of East Timor. The Australian government issued a travel advisory for East Timor on May 4, 2006 advising Australians to avoid the country.
 Mr Downer today told parliament that there was no indication of violence against foreigners despite the warning still being in place. He continued by saying that the government was ""deeply concerned"" and would continue to monitor the situation closely. ""We have, in a number of ways, strongly urged the leaders of East Timor to resolve quickly and peacefully the differences that there are and, of course, to do so with full regard for the democratic institutions of the country, its constitution, the rule of law and international norms of human rights."" said Mr Downer.
 Parliament also heard that Australia had agreed with members of the United Nations Security Council to conduct a new operation in East Timor. ""Australia does stand ready to offer assistance if requested by either the East Timor government directly or the United Nations."" Mr Downer told parliament.
 
",https://en.wikinews.org//wiki/Australia_will_help_in_East_Timor_if_requested:_Downer
5," Wednesday, June 21, 2006 
"," Australian Prime Minister John Howard announced on Tuesday that Old Parliament House in Canberra has been heritage listed. It is the 31st entry on the National Heritage List.
 The listing acknowledges the role the building has in shaping Australia's culture and protects it from being modified in any way which could affect its historic value.
 Old Parliament House served as the home of Australia's parliament from 1927 until 1988, when it was relocated to the present parliament house. From 1901-1927, parliament met in Melbourne in the Victorian Parliament House (the state parliament was relocated for 26 years). Before being known as Old Parliament House, the building was known as Provisional Parliament House - as it was intended to be used for 50 years before a permanent building could be built.
 In the 61 years the building was used as the seat of parliament, the government changed only seven times, and several new political parties were formed (the Liberals, Anti-Communist Labor Party, and the Australian Democrats).
 Mr Howard said the building played an important part in Australia's political history. ""Old Parliament House will always be an important part of our political history with its rich collection of original furniture, art and memorabilia helping to illustrate the story of Australia's political customs and functions,"" he said.
 According to Mr Howard, the National Heritage List lists sites which have helped shape the country. ""The National Heritage List contains places that have played an important role in the development of our nation, such as Captain Cook’s landing place in New South Wales, Port Arthur in Tasmania and the Australian War Memorial in Canberra,"" said the Prime Minister.
 The building currently houses Australia's National Portrait Gallery, and serves as a venue for receptions and exhbitions.
 
 
 
",https://en.wikinews.org//wiki/Australia%27s_Old_Parliament_House_becomes_heritage_listed
6," Monday, August 23, 2010 
"," Australia's parliament will be hung after this year's federal election. With 73% of the nation wide vote counted, the governing Australian Labor Party has been confirmed to have 50.7% of the two party preferred votes, and predicted to win 73 seats in the House of Representatives, 3 short of majority.
 The coalition of the Liberal and National parties has 70 secure seats and predicted to win 73 seats. This figure includes Queensland's Liberal National Party and the Northern Territory's Country Liberal Party, both of which are mergers of the local branches of the Liberal and National parties.
 The Australian Greens have picked up their first seat at a general election in the House of Representatives. Adam Bandt is projected to become the member for the Division of Melbourne. The Greens vote in the Senate reached 12.95%, meaning 1.26 million Australians voted for the party in the upper house. Its predicted tally of nine senators will guarantee it the balance of power in the Senate.
 Two days after the election, a handful of seats are still in doubt. Sky News and ABC report that three seats are in doubt, while the Australian Electoral Commission lists four.
 Rob Oakeshott, a re-elected independent, told ABC Television that he and the other independents want a stable government. ""If we can't get that, let's go back to the ballot box,"" he said.
 ""At the launch of our campaign this morning we had representatives from the Opposition, the shadow minister for youth as well as the Greens spokesperson for youth showing that this is not about who people vote for, it's about the fact that they've got the chance to vote,"" said Prime Minister Julia Gillard as she launched the campaign five weeks ago.
 The ALP came to power in 2007 after they won 83 seats in the House of Representatives under the leadership of Kevin Rudd. In July 2010, Rudd was replaced as leader of the ALP and as Prime Minister by Ms Gillard.
 Tony Abbott became leader of the Liberal Party of Australia in December 2009 replacing Malcolm Turnbull, who had replaced Brendan Nelson two years previously.

 
",https://en.wikinews.org//wiki/Australian_federal_election_2010:_Parliament_hung
7," Thursday, December 8, 2005 
"," The Australian Senate has passed legislation to force a national nuclear waste dump on the Northern Territory (NT). Despite opposition from Aboriginal land owners, the NT government, environment groups and Labor the Federal Government can now officially build a nuclear waste repository in the NT after the legislation for the waste dump passed the Senate today. The Radioactive Waste Management Bill was passed with 34 in favour and 29 against.
 The two bills override the Northern Territory's objection to the radioactive waste dump after the South Australian government opposed a previous preferred site near Woomera. According to Federal Labor opposition MP, Warren Snowdon, it is the first time since 1978 that Territory law has been overridden. ""It's an absolute disaster and it shows contempt for the Northern Territory community, it shows absolute contempt for land use planning in the Northern Territory,"" he said. 
 The Territory Labor Government has been a resolute opponent of the plan, saying a nuclear dump will expose residents to a new security threat. 
 The Chief Minister of the Northern Territory, Clare Martin, says transporting nuclear waste to the Territory would make it vulnerable to terrorists looking to make a dirty bomb. Ms Martin says experts on the issue have raised concerns about security at a national nuclear waste facility.
 She says scientific debate played no part in the Federal Government's decision to build a dump in the Territory and nuclear waste could be a target while it is being moved to the Territory. ""You'd have to look at how far around a country you're going to be transporting things like intermediate nuclear level waste,"" she said. 
 ""And if you're going to put such a nuclear facility in the middle of central Australia you've got to get the waste there by road and that's thousands of kilometres."" She says the Commonwealth should not expect any cooperation from her Government.
 The Australian Nuclear Science and Technology Organisation's (ANSTO) Craig Pierce says there would be no point trying to use low level waste to make a dirty bomb because the waste is mostly gloves and labcoats. ""It simply would make no sense to get this material and want to blow it up,"" he said.
 ""It would have no impact at all. On the intermediate level, that will have a high level of security when it is transported. It won't be transported for very far on road, on land, and it will have an appropriate level of security."" 
 The Australian Conservation Foundation said it expected community anger would escalate, now the bills had passed. ""Last year the federal government gave the people of the NT an absolute categorical assurance there would be no dump in the NT,"" ACF nuclear campaigner Dave Sweeney said. ""Today they have broken this promise and bulldozed through bad law in an attempt to gag community concern.""
 ""Under the government's proposal, 130 truckloads of radioactive waste would be driven from Sydney's Lucas Heights reactor, through NSW, to an as-yet unnamed site in the NT in the first year alone, with dumping to continue for decades,"" he said.
 The Australian Greens say the legislation could be manipulated to allow waste from other countries to be stored in the Northern Territory. The party is angry that amendments they proposed were not considered when the bill was passed. Greens Senator Rachel Siewert says the legislation is not strong enough. 
 ""In the bill, there were some provisions to supposedly keep out international waste,"" she said. ""We don't think they go far enough and that they are open to manipulation and interpretation. So what we were trying to do is absolutely positively ensure that international waste will not be brought into this facility.""
 The NT Environment Centre's Gary Scott has hinted at civil disobedience similar to that seen during the anti-uranium mining protests at Jabiluka. ""I don't think Territorians are going to take this lying down unless that is in front of bulldozers,"" Mr Scott said.
 The Centre’s Peter Robertson has emphasised the importance of the waste dump for the federal government to realise its plans for a second nuclear reactor. ""If we get the dump, Sydney gets the reactor"". Establishing a national waste dump is a precondition for the operating license for the proposed OPAL nuclear reactor which will replace Lucas Heights in Sydney.
 Robertson pointed out that the issue of waste is creating an international crisis for the nuclear industry, with no storage plans for the more than 250,000 tonnes of high-level radioactive waste currently in existence. 
 A detailed study of three Defence sites - Fishers Ridge, 43 km south-east of Katherine, Harts Range, 100 km north-east of Alice Springs, and Mount Everard, 27 km north-west of Alice Springs - will be conducted next year, with the facility to be operational by 2011.
 Traditional owners of Athenge Alhere - an estate group of the Arrernte Nation - have voiced their dissent to the nuclear dump and say they don’t want waste from Sydney's Lucas Heights nuclear reactor brought to their land. ""Because the land we take care of, because all our ancestors lived in this land and hunted on this land as well, so it's mainly because of the animals and the next generation of our kids and their children, so we still say no,"" traditional owner Benedict Stevens said.
 Coalition MPs, including Northern Territory Country Liberal senator Nigel Scullion, secured a number of amendments to the bill. They included the ability of the NT government and indigenous land councils to decide on other site options, a prohibition on the storage of high level and overseas waste and the free storage of the NT's own waste.
 The South Australian Government says tenacity staved off a nuclear dump on its land. SA Environment Minister, John Hill, says there could be a federal election before the facility's finally built. ""It will take them some time to construct this facility and that gives you some opportunities,"" he said. 
 Mr Hill says waste should be stored closer to Lucas Heights in Sydney where it is generated. Radioactive waste is currently stored at over 100 locations across the country, including in hospital basements in major capital cities and at universities.
 Update: NT farmers have threatened to take action if a site near their farms is selected for the dump. Fishers Ridge, south of Katherine, is one of three Commonwealth sites earmarked for the facility. Sharon Shaw's farm 12 kilometres from the Fishers Ridge site. ""The thing that worries us the most, it's on top of a Tindal Aquifer which really concerns us in the fact that there's many sink holes that turn up every wet as the ground is always shifting,"" she said. ""Any normal person without an environmental degree or anything would realise that this ground is unstable.""
 
",https://en.wikinews.org//wiki/Australian_government_paves_way_for_nuclear_waste_dump_in_Northern_Territory
8," Friday, March 28, 2014 
"," The Australian Federal Government has proposed repealing sections of the Racial Discrimmination Act that make it unlawful to “offend, insult, humiliate or intimidate” another person or group  based on race. 
 Attorney-General George Brandis said during question time in the Australian Senate that amending section 18C of the Racial Discrimation Act 1975 was in the interest of freedom of speech, saying: “In a free country people do have rights to say things that other people find offensive or insulting or bigoted."" 
 The Government is proposing to retain intimidation due to race as an offence and create a new law making it illegal to “vilify another person” based on “race, colour or national or ethnic origin.”
 Prime Minister Tony Abbott supported the proposed amendment, saying: “Of course this Government is determined to try to ensure that Australia remains a free and fair and tolerant society, where bigotry and racism has no place. But we also want this country to be a nation where freedom of speech is enjoyed.”
 Members of the Opposition have spoken against the proposed amendment, with Shadow Attorney-General Mark Dreyfus saying “Senator Brandis has clearly revealed today he intends to give a green light to racist hate speech in Australia.""
 Indigenous Liberal MP Ken Wyatt expressed concern over the legislation, and warned he could vote against his own party. “For me, it is about not disabling a mechanism that makes people think carefully about the vilification of anyone or any group because they know there is a deterrent,"" said Wyatt.
 The proposed draft will undergo community consultation for a month, with Senator Brandis welcoming alterations, “I am acutely aware of the importance that in protecting freedom of speech, we don't send the wrong messages. I want as much community engagement as possible"". The legislation will be introduced to the Parliament of Australia in the budget session when it resumes on May 13.
 
 
",https://en.wikinews.org//wiki/Australian_Government_proposes_amendments_to_Racial_Discrimination_Act
9," Wednesday, March 29, 2006 
The Australian House of Representatives today acknowledged the impact of the recent devastating Cyclone Larry and the efforts of the support given to the residents and communities of north Queensland in order to restore normal life.
"," Phillip Ruddock (Liberal, Berowra) moved a motion expressing this after Question Time today, which included a description of the devastation wrought on the area, the response by the Australian Government and the Australian Defence Force, and thanked the efforts of people for their ""willingness to roll up their sleeves and get on with the job of cleaning up and rebuilding their towns and centres.""
 The Leader of the Opposition, Kim Beazley (Labor, Brand) supported the motion, and congratulated the move to put General Peter Cosgrove in charge of operations, stating that soldiers ""know how to work through logistics issues...how to work around officialdom or blockages"", praised both local federal and state members of Parliament, and especially the Labor Queensland state premier, Peter Beattie.
 Bob Katter (Independent, Kennedy) was more critical in his speech. Katter thanked Beattie for his immediate response, but also described his confrontation with him and said how first responses were ""simply not working"", but also praised Beattie's decision on Cosgrove. Katter also described how the incident was ""the worst natural disaster in
Australian history"" and how the banana industry in north Queensland was decimated. Katter went on to describe the financial problems of the people in the region, the ""huge gap"" between the cost of rebuilding and insurance payouts, also asking ""Are we going to pay people virtually nothing to sit on their backsides to do nothing or are we going to pay them a decent wage and have them rebuilding our communities for us?""
 The debate is set to continue in the Main Committee, as an opportunity for many more members of the House of Representatives to speak to the motion, without taking up further time in the Chamber.
 
",https://en.wikinews.org//wiki/Australian_House_of_Representatives_acknowledges_Cyclone_Larry_efforts
