,Unnamed: 0,id,domain,type,url,content,scraped_at,inserted_at,updated_at,title,authors,keywords,meta_keywords,meta_description,tags,summary
0,0,141,awm.com,unreliable,http://awm.com/church-congregation-brings-gift-to-waitresses-working-on-christmas-eve-has-them-crying-video/,sometim power christma make wild wonder thing need believ holi triniti believ posit power good other simpl act give without receiv lost mani us day worri money success hold us back give other need one congreg ohio move action power sermon given church christma eve pastor grand lake unit methodist church celina ohio gave emot sermon import understand messag jesu mani religi peopl messag jesu help other make sure peopl suffer get help need enjoy life littl bit sermon realli generos look like live jesu live long time ago act gener fashion time would gener act look like time focu sermon potenc sermon lost congreg move take action sermon end congreg decid take offer bowl pass around room everyon pitch could christma eve word sermon still ring ear offer member congreg drove local waffl hous visit ladi work night shift great choic holi day everyon famili ladi work waffl hous clearli famili choic work holi day paid bill congreg understood sacrific made ladi want help donat entir offer split amongst ladi waffl hous total amount num split amongst staff beauti moment perfect exampl preacher talk sermon good deed like christma realli help eas burden felt ladi work waffl hous sure could see famili least got littl gift good peopl commun perhap best part whole event congreg ask anyth return simpl act generos peopl understood pain felt anoth group sought allevi pain speak volum merit church daili live simpl act brought entir commun togeth show empathi compass special day year,2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,"Church Congregation Brings Gift to Waitresses Working on Christmas Eve, Has Them Crying (video)",Ruth Harris,,[''],,,
1,1,256,beforeitsnews.com,fake,http://beforeitsnews.com/awakening-start-here/2018/01/awakening-of-12-strands-of-dna-reconnecting-with-you-movie-10623.html,awaken num strand dna reconnect movi reader think stori fact add two cent headlin bitcoin blockchain search exceed trump blockchain stock next date zurichtimesnet mile johnston give updat anoth case strang synchron good hidden insid test trial like follow whiterabbit rabbit hole type exercis research num strand dna came across articl one particular strang synchron written exactli num year ago topic url url num strand dna war dna trailer awaken num strand full video avail paid video vimeo awaken num strand reconnect vimeocomondemandawakeningof12strand awaken num strand reconnect sandra daroy vimeo watch full video base strang synchron present within suggest use discern alway necessari end time url,2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,AWAKENING OF 12 STRANDS of DNA – “Reconnecting with You” Movie,Zurich Times,,[''],,,
2,2,700,cnnnext.com,unreliable,http://www.cnnnext.com/video/18526/never-hike-alone-a-friday-the-13th-fan-film-full-movie-/,never hike alon friday 13th fan film usa num num min fan tribut friday 13th never hike alon follow adventur never hike alon friday 13th fan film usa num num min fan tribut friday 13th never hike alon follow adventur blogger kyle mcleod andrew leighti uncov long lost remain camp crystal lake solo backpack trip ignor campfir tale childhood kyle search turn deadli make grave mistak cross path camp blood legendari mass murder jason voorhe strand forest jason heel kyle must push surviv skill limit hope surviv night otherwis hell wind anoth lost victim curs camp direct vincent disanti screenplay vincent disanti nathan mcleod base charact creat sean cunningham victor miller ron kurtz star andrew leighti kyle mcleod vincent disanti jason voorhe execut produc barri jay stitch carolyn gair sarah disanti produc kyle klein daniel evan matthew barrett coproduc steven squillant christoph thella alexand thella associ produc codi cameron christian ascencio lydia ascencio lynn hobson rene riva mike whelan director photographi christoph thella jd martz product design brittani porter special make effect kelsey berk wardrob stephen boydmoral stunt jessica bennett bryan forrest jason voorhe donni nichol kyle mcleod film edit lawrenc gan sarah disanti unit still photographi ashli covington music ryan perezdapl run like hell written vincent disanti jake gonsalv lenni machado perform gonsalv machado record elm street studio new bedford num appear courtesi damn enchilada anoth soul written perform trevor vaughan appear final salao mix tape record colosseum new bedford num appear courtesi trevor vaughan mass glori record addit cast crew visit url url disclaim product effort womp stomp film llc volunt associ never hike alon product fan fiction way affili repres viacomparamount film compani warner brother new line cinema horror inc friday 13th film properti charact project creat fan fan show appreci friday 13th franchis friday 13th octob num project made free avail care watch profit shall made view thank assist bring project life womp stomp film forev grate time dedic project thank watch,2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,Never Hike Alone - A Friday the 13th Fan Film (Full Movie),,,[''],"Never Hike Alone: A Friday the 13th Fan Film     USA | 2017 | 54 minA fan tribute to Friday the 13th, Never Hike Alone follows an adventure blogger, Kyle McLeod",,
3,3,768,awm.com,unreliable,http://awm.com/elusive-alien-of-the-sea-caught-by-scientist-for-one-of-the-first-times-ever-video/,rare shark caught scientist left blunder answer shark uniqu featur surviv extrem depth live extend period time shark uniqu trait extend jaw telescop fashion beyond mouth youv ever seen hit scienc fiction movi alien shark monster made manifest earth shark stalk prey lash telescop teeth snatch larg fish swallow one bite deadli predat deep sea besid telescop teeth shark glow dark recent discov back num three decad sinc first found select exot shark speci found routin survey dongh township taiwan countri fisheri research institut found five horrifi deepsea shark team notabl horrifi describ obviou featur needleshap teeth like snakelik fang also origin viper shark name that right beast call viper shark tell name feroci prey although research gotten hand anim littl known research think creatur swim num num meter surfac ocean day num meter night could temperatur chang someth light last five specimen trawl depth num meter surfac sea four alreadi dead live specimen immedi immers cool seawat could handl sudden chang habitat perish day later viper shark look like alien monster movi feed human main food sourc crustacean boni fish one favorit lunch item lanternfish creatur might attract toward shark glowinthedark bodi swim close enough shark lash extend jaw snatch fish devour whole first specimen viper shark found coast shikoku island japan num bottomtrawl vessel seiryomaru first haul creatur surfac sea fish new discoveri time scientif name honor seiryomaru captain hiromichi kabeya shark scientif name trigonognathu kabeyai although much fish known scientist classifi dogfish shark found deep part pacif ocean would react shark came end fish line would think nightmar,2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,Elusive ‘Alien Of The Sea ‘ Caught By Scientist For One Of The First Times Ever (video),Alexander Smith,,[''],,,
4,4,791,bipartisanreport.com,clickbait,http://bipartisanreport.com/2018/01/21/trumps-genius-poll-is-complete-the-results-have-americans-bursting-with-laughter/,donald trump unnerv abil abil creat realiti convinc million american say true problem presid lie believ lie new poll show get countri deep troubl new abc newswashington post poll came presid physician gave physic mental exam doctor gave trump clean bill health ad inch height claim fit serv seven year poll abl captur american opinion new book came indic peopl around trump question emot stabil abil hold offic addit new poll gave respond time hear trump tell public stabl geniu interview said actual throughout life two greatest asset mental stabil like realli smart abcwashington post poll discov num percent peopl interview believ presid geniu left full num percent saw lie question trump mental stabil poll found nearli even divid throughout nation ask presid stabl num percent interview said num percent believ stabl abc newswashington post poll taken januari num date random sampl consist num adult interview landlin cell phone english spanish margin error num percentag point featur imag via getti imagesdrew anger,2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,Trump’s Genius Poll Is Complete & The Results Have Americans Bursting With Laughter,Gloria Christie,,[''],,,
5,5,899,blackagendareport.com,unreliable,https://blackagendareport.com/articlelist/Media%20and%20Culture,republican democrat alik will turn govern coffer bezo ilk right peopl damn,2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,Black Agenda Report,"Margaret Kimberley, Bar Editor, Senior Columnist, Glen Ford, Bar Executive Editor, Nellie Bailey, Kyle Fraser, Black Agenda Radio Producer, Nellie Bailiey",,[''],,,
6,6,1058,awarenessact.com,conspiracy,http://awarenessact.com/tag/waking-up-in-the-morgue/,could imagin wake morgu one would traumat life num yearold prison name gonzalo montoya jimenez found unrespons cell morn ro,2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,waking up in the morgue – Awareness Act,Gerald Sinclair,,[''],,,
7,7,1376,beforeitsnews.com,fake,http://beforeitsnews.com/home/featuredlist/v2_top_citizen_journalist.html,citizen journalist nmorgan q releas sever new post last num hour hit bull eye accord q explos info releas could start second american revolut q begin releas inform elit involv child sex abus,2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,Citizen Journalist,,,[''],,,
8,8,1411,beforeitsnews.com,fake,http://beforeitsnews.com/economy/2018/01/usa-dollar-tanks-on-mnuchin-statement-that-he-wants-a-lower-dollar-value-2931673.html,usa dollar tank mnuchin statement want lower dollar valu headlin bitcoin blockchain search exceed trump blockchain stock next harvey organ harvey organ blog usa index break num end num usa num yr bond note num gold rise num num silver rise num cent num break huge num resistancemonstr issu gold efp num huge silver efp issuanc num contractshug num tonn gold ad gldnoth ad slvhuge number swamp stori tonight gold num num silver num num cent close access price gold num silver num shanghai gold fix first fix num num pm est num num shanghai local time second fix date shanghai first gold fix num dollar per oz ny price gold exact time num premium first fix num xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx second shanghai gold fix num ny gold price exact time num premium shanghai 2nd fixni num shanghai reject ny london price gold xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx london first gold fix num num est num ny price exact time num london second gold fix num num ny price exact time num comex gold januari number notic file today januari contract num notic num oz total notic far num num oz num tonn silver januari num notic file today for50000 oz total number notic file far month num num oz xxxxxxxxxxxxxxxxxxxxxxxxxxxxxx bitcoin bid num offer num num morn bitcoin bid num offer num num close num pm end let us look data today xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx silver total open interest fell tini num contract num fall num yesterday num cent loss silver price thu minim comex liquid howev notifi anoth huge size number comex long transfer contract london efp rout num efp march zero month thu total issuanc num contract howev movement across london sever gold seem major player will take bank comex still transfer num contract cme state silver gold deliv upon comex must export oblig london also keep mind delay num hr issu efp accumul efpssilv start first day noticefor month januari num contract num trade day total num contract num million oz averag per day num contract num million ozday give idea huge suppli month silver far month num million paper oz morph london repres around num annual global product result tini size loss oi comex despit num cent loss silver price usual indic anoth fail banker shortcov also huge size efp issuanc num contract exit silver comex transfer oi london forward specul continu interest attack silver comex physic silver cme data num efp issu today deliver forward contract london fiat bonu realli gain num oi contract ie num open interest contract head london efp togeth decreas num oi comex contract happen fall price silver num cent close price num respect yesterday trade yet still good amount silver stand comex ounc comex oi still repres num billion oz ie num billion exact num annual global silver product ex russia ex china new front januari month file num notic num oz silver gold open interest surprisingli rose consider num contract to582421 good size rise price gold yesterday trade num anoth huge develop receiv total number gold efp issu wednesday total humong size num contract februari saw num contract issu april saw issuanc num contract new oi gold complex rest num also rememb delay issuanc efp banker remov long posit comex gold immedi orchestr privat efp deal long could take addit num hr gener get match respect depart comex long new efp long transfer demand gold intensifi greatli continu wit huge number efp transfer togeth massiv increas gold comex oi togeth total amount gold ounc stand januari comex even though banker issu monstrou efp oblig still rest banker suppli metal transfer risk london banker oblig new york comex oblig long receiv fiat bonu togeth long london forward thu action banker comex state appreci metal massiv fraud cannot suppli metal comex long quit will suppli massiv non back gold silver paper know metal satisfi long london sever backward gold silver big rise gofo sifo wit delay actual deliveri essenc today huge gain num contract num oi contract increas comex good size num oi contract navig london expect huge number efp issu approach first day notic gold feb comex contract wednesday jan num yesterday num efp issu accumul efp goldexchang physic month januari start first day notic num contract num million oz num tonn num trade day thu averag num efp contract per trade day num ozday give idea huge size efp transfer far month num trade day tonn num tonn total annual gold product num throughout world ex china ex russia num tonn thu efp transfer repres num num tonn num global annual product far januari alon result shockingli strong size increas oi comex fair size rise price gold trade yesterday num anoth gigant size number comex long transfer london efp rout num obvious seem much physic gold comex yet also observ huge deliveri month month decemb guess explain huge issuanc efpsther hardli gold present gold comex deliveri purpos take account num efp contract issu net gain open interest num contract two exchang num contract move london num contract increas comex tonn gain total oi equat num tonn num notic file upon num oz gold xxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxxx respect two crimin fund gld slv gld gold num huge chang gold inventori glda deposit num tonn inventori rest tonight num tonn slv big chang silver inventori slva huge withdraw num million oz slv inventori inventori rest num million oz end first outlin discuss tonight num today open interest silver fell tini num contract num num littl new comex record set fridayapril num num num fall price silver tune num cent respect yesterday trade banker use emerg procedur issu anoth good num privat efp march get look contract privat cftc audit num efp month efp give comex long fiat bonu plu deliver product london zero comex silver comex liquid take oi loss comex num contractsto num oi transfer london efp obtain big gain num open interest contract still good amount silver ounc stand metal januari see net gain today oz two exchang num million oz result small size decreas silver oi comex despit tini fall num cent price respect yesterday trade also anoth strong num efp issu transfer comex long london togeth good size amount silver ounc stand januari demand physic silver intensifi wit major bank short cover accompani increas gofo sifo rate indic scarciti report harvey num shanghai london gold fix report harvey num b goldsilv trade overnight europ goldcor mark obyrnezerohedg ny bloomberg num asian affair ilat tuesday nightwednesday morn shanghai close num point num hang sang close num pt num nikkei close num point num australia ordinair close num chines yuan onshor close well num oil num dollar per barrel wti num brent stock europ open red onshor yuan close dollar num offshor yuan close onshor yuan num onshor yuan much stronger dollaroff shore much stronger dollar dollar index much weaker major currenc china happi todaygood marketsweak usa dollar read harveyorganblogcom sourc url,2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,Usa Dollar Tanks On Mnuchin Statement That He Wants A Lower Dollar Value,,,[''],,,
9,9,1422,canadafreepress.com,conspiracy,http://canadafreepress.com/article/its-not-really-president-trump-who-needs-his-mouth-washed-out-with-soap,subscrib canada free press free neither rev rodriguez pope franci presid trump address crowd satellit realli presid trump need mouth wash soap throw spotlight socal men cloth presid donald trump need mouth wash soap allegedli made use vulgar word white hous meet immigr there get around word pain cuss word particularli heap prais abort advoc member presid trump evangel advisori council decid jump ship day publicli side nanci pelosi daca redstat date alway taken lead commit immigr commun dreamer second none america better place prophet leadership matter revsamuel rodriguez spoke trump inaugur last year told pelosi press confer thursday prophet realli pelosi cours one loudest advoc abort ever elect come second former presid barack obama champion partial birth abort sincer rev rodriguez rais name presid donald trump prayer inaugur discomfit presid use express deni use rev rodriguez member unoffici evangel advisori board presid nation hispan christian leadership confer note everi singl person creat imag god spoke welcom peopl equal nigeria norway albeit rigor vet process later day said addit great due defer believ comment attribut presid best describ wrong inappropri hurt god look nation see children yahoo date go without say creator see among children million babi kill mother womb sadli pastor one hypocrit regard presid alleg use word preachworthi open advoc abort isnt tad hypocrit downright sanctimoni vatican newspap losservator romano would tri washhismouthwithsoap stanc latest alleg explet presid donald trump know presid trump alleg use word tattlet internet world cathol us senat dick durbin went straight media report vulgar repeatedli use white hous meet immigr tattletal dicki durbin continu newspap losservator romanoth vatican flagshipgav trump comment immigr debat unit state front page attent note comment immedi spark controversi indign never mind trump deni use term merci newspap print vulgar word automat spiral democrat fullon faux rage none vulgar explet rile peopl word indiscrimin use honor abort advoc asif moreoffens faith prolif cathol must thought word read twitter abort advoc liliann ploumen former minist foreign trade develop cooper netherland recent honor pope franci titl command pontif equestrian order st gregori great one tweet turn troubl true lepanto institut abl confirm date dutch radio broadcast ploumen inde receiv honor brief video clip promot broadcast ploumen display medal say receiv pope lepanto institut jan12 num say liliann ploumen proabort extrem understat doesnt even come close scandal realiti activ januari last year us presid donald trump reinstat mexico citi polici ploumen launch new ngo call decid provid mass amount fund organ would longer receiv fund us govern mexico citi polici automat deni us fund intern organ perform promot abort refer mexico citi polici global gag rule ploumen state intent decid continu support exist program run organ unit nation popul fund unpfa intern plan parenthood feder mari stope intern said success effect program direct support distribut condom make sure women accompani birth make sure abort safe choic lepanto institut continu ploumen profil ploumen anticathol activ isnt restrict abort septemb num ploumen particip unit nation lgbti core group first speaker event ploumen note lgbti right human right open remark said cannot complac today num countri homosexu still criminalizedstigma lgbt peopl continu world num ploumen end foreign aid countri uganda pass bill ban sodomi samesex marriag februari num ploumen call lgbt activist descend upon disrupt mass st john baptist cathedr wear pink triangl word jesu exclud one reason prolgbt activist protest church moral teach regard homosexu continu alreadi know pope franci profil presid donald trump num respons question thencandid trump view immigr intent build wall along us border mexico franci said man view christian reuter date trump grew presbyterian famili shot back say disgrac pope question faith action speak much louder cuss word thousand take part num date life today neither rev rodriguez pope franci presid trump address crowd satellit copyright canada free press rss feed judi mcleod judi mcleod awardwin journalist num year experi print media former toronto sun columnist also work kingston whig standard work appear rush limbaugh newsmaxcom drudg report foxnewscom older articl judi mcleod pleas adher comment polici avoid ban privat own websit reserv right remov comment ban user timecom contain spam advertis vulgar threat violenc racism antisemit person abus attack user may remov result ban follow instruct regist,2018-01-25 16:17:44.789555,2018-02-02 01:19:41.756632,2018-02-02 01:19:41.756664,It’s Not Really President Trump Who Needs His Mouth Washed Out With Soap,"Judi Mcleod, Because Without America, There Is No Free World.",,[''],,,
